成交日期,证券代码,证券名称,操作,成交价格,成交数量,成交金额,佣金,印花税,过户费,发生金额
2025-01-06 11:48:00,300664,海康威视,买入,27.87,300,8361.0,5,0,0.17,-8366.17
2025-01-07 13:55:00,300664,海康威视,卖出,29.14,300,8742.0,5,4.37,0.17,8732.46
2025-01-07 10:33:00,300332,比亚迪,买入,22.56,600,13536.0,5,0,0.27,-13541.27
2025-01-21 10:55:00,300332,比亚迪,卖出,21.9,600,13140.0,5,6.57,0.26,13128.17
2025-01-07 11:21:00,300229,迈瑞医疗,买入,14.78,300,4434.0,5,0,0.09,-4439.09
2025-01-22 10:31:00,300229,迈瑞医疗,卖出,14.39,300,4317.0,5,2.16,0.09,4309.75
2025-01-09 11:06:00,300028,海康威视,买入,37.93,800,30344.0,5,0,0.61,-30349.61
2025-01-23 13:42:00,300028,海康威视,卖出,36.8,800,29440.0,5,14.72,0.59,29419.69
2025-01-09 13:48:00,300794,新易盛,买入,35.18,200,7036.0,5,0,0.14,-7041.14
2025-01-24 11:42:00,300794,新易盛,卖出,34.12,200,6824.0,5,3.41,0.14,6815.45
2025-01-10 13:06:00,300178,平安银行,买入,39.74,200,7948.0,5,0,0.16,-7953.16
2025-01-30 11:19:00,300178,平安银行,卖出,38.36,200,7672.0,5,3.84,0.15,7663.01
2025-01-14 13:21:00,300831,立讯精密,买入,14.07,200,2814.0,5,0,0.06,-2819.06
2025-01-29 13:08:00,300831,立讯精密,卖出,13.68,200,2736.0,5,1.37,0.05,2729.58
2025-01-14 12:48:00,300418,立讯精密,买入,16.6,200,3320.0,5,0,0.07,-3325.07
2025-01-31 14:55:00,300418,立讯精密,卖出,16.03,200,3206.0,5,1.6,0.06,3199.34
2025-01-16 11:33:00,300848,万丰奥威,买入,26.08,200,5216.0,5,0,0.1,-5221.1
2025-01-20 11:19:00,300848,万丰奥威,卖出,27.49,200,5498.0,5,2.75,0.11,5490.14
2025-01-17 09:48:00,300759,剑桥科技,买入,41.22,300,12366.0,5,0,0.25,-12371.25
2025-02-03 12:19:00,300759,剑桥科技,卖出,40.1,300,12030.0,5,6.02,0.24,12018.74
2025-01-20 09:48:00,300781,新易盛,买入,25.43,800,20344.0,5,0,0.41,-20349.41
2025-01-21 10:42:00,300781,新易盛,卖出,26.69,800,21352.0,5,10.68,0.43,21335.89
2025-01-21 10:33:00,300473,立讯精密,买入,46.72,500,23360.0,5,0,0.47,-23365.47
2025-02-03 12:19:00,300473,立讯精密,卖出,45.53,500,22765.0,5,11.38,0.46,22748.16
2025-01-22 13:21:00,300264,宁德时代,买入,46.4,600,27840.0,5,0,0.56,-27845.56
2025-02-11 13:31:00,300264,宁德时代,卖出,44.78,600,26868.0,5,13.43,0.54,26849.03
2025-01-22 14:06:00,300403,迈瑞医疗,买入,26.68,600,16008.0,5,0,0.32,-16013.32
2025-01-23 11:19:00,300403,迈瑞医疗,卖出,27.88,600,16728.0,5,8.36,0.33,16714.31
2025-01-23 11:48:00,300508,立讯精密,买入,14.29,800,11432.0,5,0,0.23,-11437.23
2025-01-24 14:08:00,300508,立讯精密,卖出,14.95,800,11960.0,5,5.98,0.24,11948.78
2025-01-24 14:33:00,300403,平安银行,买入,47.07,800,37656.0,5,0,0.75,-37661.75
2025-01-28 13:42:00,300403,平安银行,卖出,49.34,800,39472.0,5,19.74,0.79,39446.47
2025-01-28 14:06:00,300555,新易盛,买入,39.46,500,19730.0,5,0,0.39,-19735.39
2025-02-14 13:42:00,300555,新易盛,卖出,38.25,500,19125.0,5,9.56,0.38,19110.06
2025-01-28 10:48:00,300746,科大讯飞,买入,14.44,1000,14440.0,5,0,0.29,-14445.29
2025-02-12 10:31:00,300746,科大讯飞,卖出,14.01,1000,14010.0,5,7.0,0.28,13997.72
2025-01-30 12:06:00,300659,中国平安,买入,35.65,500,17825.0,5,0,0.36,-17830.36
2025-02-03 10:31:00,300659,中国平安,卖出,37.26,500,18630.0,5,9.31,0.37,18615.32
2025-01-31 14:21:00,300757,恒瑞医药,买入,15.63,1000,15630.0,5,0,0.31,-15635.31
2025-02-18 10:42:00,300757,恒瑞医药,卖出,15.18,1000,15180.0,5,7.59,0.3,15167.11
2025-02-03 12:48:00,300201,天孚通信,买入,21.49,200,4298.0,5,0,0.09,-4303.09
2025-02-17 14:31:00,300201,天孚通信,卖出,20.82,200,4164.0,5,2.08,0.08,4156.84
2025-01-31 09:21:00,300528,京东方A,买入,38.8,300,11640.0,5,0,0.23,-11645.23
2025-02-17 13:42:00,300528,京东方A,卖出,37.64,300,11292.0,5,5.65,0.23,11281.12
2025-02-03 09:33:00,300355,中芯国际,买入,38.06,500,19030.0,5,0,0.38,-19035.38
2025-02-17 11:19:00,300355,中芯国际,卖出,36.92,500,18460.0,5,9.23,0.37,18445.4
2025-02-05 10:06:00,300585,中芯国际,买入,24.41,800,19528.0,5,0,0.39,-19533.39
2025-02-25 11:08:00,300585,中芯国际,卖出,23.62,800,18896.0,5,9.45,0.38,18881.17
2025-02-06 12:21:00,300136,紫光国微,买入,28.67,1000,28670.0,5,0,0.57,-28675.57
2025-02-20 13:31:00,300136,紫光国微,卖出,27.88,1000,27880.0,5,13.94,0.56,27860.5
2025-02-07 09:33:00,300269,恒瑞医药,买入,47.09,500,23545.0,5,0,0.47,-23550.47
2025-02-24 12:08:00,300269,恒瑞医药,卖出,45.55,500,22775.0,5,11.39,0.46,22758.15
2025-02-07 14:48:00,300782,中信证券,买入,19.61,300,5883.0,5,0,0.12,-5888.12
2025-02-20 10:08:00,300782,中信证券,卖出,19.02,300,5706.0,5,2.85,0.11,5698.04
2025-02-11 11:33:00,300135,北方华创,买入,40.16,400,16064.0,5,0,0.32,-16069.32
2025-02-24 13:08:00,300135,北方华创,卖出,39.08,400,15632.0,5,7.82,0.31,15618.87
2025-02-11 12:48:00,300533,新易盛,买入,29.48,400,11792.0,5,0,0.24,-11797.24
2025-02-27 12:08:00,300533,新易盛,卖出,28.72,400,11488.0,5,5.74,0.23,11477.03
2025-02-12 10:21:00,300275,宁德时代,买入,26.68,600,16008.0,5,0,0.32,-16013.32
2025-02-27 11:08:00,300275,宁德时代,卖出,25.88,600,15528.0,5,7.76,0.31,15514.93
2025-02-13 10:48:00,300543,迈瑞医疗,买入,40.37,1000,40370.0,5,0,0.81,-40375.81
2025-03-03 12:08:00,300543,迈瑞医疗,卖出,39.35,1000,39350.0,5,19.68,0.79,39324.53
2025-02-14 09:33:00,300188,寒武纪,买入,24.13,1000,24130.0,5,0,0.48,-24135.48
2025-03-05 10:55:00,300188,寒武纪,卖出,23.29,1000,23290.0,5,11.64,0.47,23272.89
2025-02-18 12:33:00,300890,招商银行,买入,12.7,800,10160.0,5,0,0.2,-10165.2
2025-03-05 11:55:00,300890,招商银行,卖出,12.29,800,9832.0,5,4.92,0.2,9821.88
2025-02-19 11:21:00,300646,比亚迪,买入,23.67,1000,23670.0,5,0,0.47,-23675.47
2025-03-11 13:08:00,300646,比亚迪,卖出,22.98,1000,22980.0,5,11.49,0.46,22963.05
2025-02-20 12:21:00,300584,招商银行,买入,16.57,500,8285.0,5,0,0.17,-8290.17
2025-02-21 12:19:00,300584,招商银行,卖出,17.35,500,8675.0,5,4.34,0.17,8665.49
2025-02-21 14:33:00,300807,中国平安,买入,20.73,300,6219.0,5,0,0.12,-6224.12
2025-03-13 14:42:00,300807,中国平安,卖出,20.17,300,6051.0,5,3.03,0.12,6042.85
2025-02-21 13:06:00,300575,寒武纪,买入,15.73,200,3146.0,5,0,0.06,-3151.06
2025-02-25 11:19:00,300575,寒武纪,卖出,16.54,200,3308.0,5,1.65,0.07,3301.28
2025-02-24 11:33:00,300727,万丰奥威,买入,37.24,400,14896.0,5,0,0.3,-14901.3
2025-03-14 13:55:00,300727,万丰奥威,卖出,36.29,400,14516.0,5,7.26,0.29,14503.45
2025-02-25 11:48:00,300256,剑桥科技,买入,19.12,1000,19120.0,5,0,0.38,-19125.38
2025-03-11 13:19:00,300256,剑桥科技,卖出,18.54,1000,18540.0,5,9.27,0.37,18525.36
2025-02-27 12:21:00,300664,新易盛,买入,40.28,1000,40280.0,5,0,0.81,-40285.81
2025-03-19 14:55:00,300664,新易盛,卖出,39.06,1000,39060.0,5,19.53,0.78,39034.69
2025-02-28 11:48:00,300412,比亚迪,买入,12.48,300,3744.0,5,0,0.07,-3749.07
2025-03-17 13:42:00,300412,比亚迪,卖出,12.08,300,3624.0,5,1.81,0.07,3617.12
2025-02-27 09:48:00,300315,中国平安,买入,33.13,600,19878.0,5,0,0.4,-19883.4
2025-03-13 11:19:00,300315,中国平安,卖出,32.14,600,19284.0,5,9.64,0.39,19268.97
2025-02-28 14:33:00,300748,科大讯飞,买入,27.13,1000,27130.0,5,0,0.54,-27135.54
2025-03-03 11:55:00,300748,科大讯飞,卖出,28.54,1000,28540.0,5,14.27,0.57,28520.16
2025-03-04 10:21:00,300121,东方财富,买入,14.58,800,11664.0,5,0,0.23,-11669.23
2025-03-20 11:55:00,300121,东方财富,卖出,14.13,800,11304.0,5,5.65,0.23,11293.12
2025-03-04 14:48:00,300136,天孚通信,买入,29.59,800,23672.0,5,0,0.47,-23677.47
2025-03-17 13:08:00,300136,天孚通信,卖出,28.82,800,23056.0,5,11.53,0.46,23039.01
2025-03-05 13:33:00,300166,中际旭创,买入,26.45,600,15870.0,5,0,0.32,-15875.32
2025-03-24 13:19:00,300166,中际旭创,卖出,25.7,600,15420.0,5,7.71,0.31,15406.98
2025-03-07 09:33:00,300108,宁德时代,买入,43.67,400,17468.0,5,0,0.35,-17473.35
2025-03-27 13:31:00,300108,宁德时代,卖出,42.34,400,16936.0,5,8.47,0.34,16922.19
2025-03-07 11:21:00,300072,立讯精密,买入,51.28,200,10256.0,5,0,0.21,-10261.21
2025-03-27 11:08:00,300072,立讯精密,卖出,49.86,200,9972.0,5,4.99,0.2,9961.81
2025-03-10 10:21:00,300762,剑桥科技,买入,48.89,200,9778.0,5,0,0.2,-9783.2
2025-03-26 14:08:00,300762,剑桥科技,卖出,47.28,200,9456.0,5,4.73,0.19,9446.08
2025-03-11 10:33:00,300111,中信证券,买入,51.2,400,20480.0,5,0,0.41,-20485.41
2025-03-12 11:42:00,300111,中信证券,卖出,53.78,400,21512.0,5,10.76,0.43,21495.81
2025-03-13 11:21:00,300371,科大讯飞,买入,21.74,800,17392.0,5,0,0.35,-17397.35
2025-03-28 14:19:00,300371,科大讯飞,卖出,21.17,800,16936.0,5,8.47,0.34,16922.19
2025-03-13 12:48:00,300560,东方财富,买入,31.69,200,6338.0,5,0,0.13,-6343.13
2025-03-17 14:31:00,300560,东方财富,卖出,33.26,200,6652.0,5,3.33,0.13,6643.54
2025-03-17 14:48:00,300851,隆基绿能,买入,28.28,400,11312.0,5,0,0.23,-11317.23
2025-03-18 11:31:00,300851,隆基绿能,卖出,29.69,400,11876.0,5,5.94,0.24,11864.82
2025-03-18 10:48:00,300208,宁德时代,买入,19.95,1000,19950.0,5,0,0.4,-19955.4
2025-03-31 11:42:00,300208,宁德时代,卖出,19.26,1000,19260.0,5,9.63,0.39,19244.98
2025-03-18 09:06:00,300042,紫光国微,买入,18.09,400,7236.0,5,0,0.14,-7241.14
2025-04-01 12:42:00,300042,紫光国微,卖出,17.58,400,7032.0,5,3.52,0.14,7023.34
2025-03-19 09:21:00,300794,迈瑞医疗,买入,30.29,600,18174.0,5,0,0.36,-18179.36
2025-04-07 14:08:00,300794,迈瑞医疗,卖出,29.5,600,17700.0,5,8.85,0.35,17685.8
2025-03-21 13:21:00,300085,寒武纪,买入,45.44,800,36352.0,5,0,0.73,-36357.73
2025-04-08 14:55:00,300085,寒武纪,卖出,44.05,800,35240.0,5,17.62,0.7,35216.68
2025-03-21 14:21:00,300471,工业富联,买入,34.74,800,27792.0,5,0,0.56,-27797.56
2025-04-04 12:55:00,300471,工业富联,卖出,33.55,800,26840.0,5,13.42,0.54,26821.04
2025-03-24 11:06:00,300179,天孚通信,买入,29.02,600,17412.0,5,0,0.35,-17417.35
2025-04-11 11:08:00,300179,天孚通信,卖出,28.09,600,16854.0,5,8.43,0.34,16840.23
2025-03-25 09:06:00,300728,万丰奥威,买入,34.02,300,10206.0,5,0,0.2,-10211.2
2025-04-11 13:55:00,300728,万丰奥威,卖出,33.01,300,9903.0,5,4.95,0.2,9892.85
2025-03-26 11:06:00,300414,立讯精密,买入,21.52,800,17216.0,5,0,0.34,-17221.34
2025-04-14 12:55:00,300414,立讯精密,卖出,20.85,800,16680.0,5,8.34,0.33,16666.33
2025-03-27 12:21:00,300062,科大讯飞,买入,19.54,1000,19540.0,5,0,0.39,-19545.39
2025-04-15 11:31:00,300062,科大讯飞,卖出,18.88,1000,18880.0,5,9.44,0.38,18865.18
2025-03-28 11:06:00,300696,京东方A,买入,32.49,600,19494.0,5,0,0.39,-19499.39
2025-04-15 14:55:00,300696,京东方A,卖出,31.51,600,18906.0,5,9.45,0.38,18891.17
2025-03-31 09:48:00,300377,中芯国际,买入,32.97,600,19782.0,5,0,0.4,-19787.4
2025-04-16 14:19:00,300377,中芯国际,卖出,31.82,600,19092.0,5,9.55,0.38,19077.07
2025-03-31 14:06:00,300134,工业富联,买入,12.14,200,2428.0,5,0,0.05,-2433.05
2025-04-16 10:42:00,300134,工业富联,卖出,11.78,200,2356.0,5,1.18,0.05,2349.77
2025-04-02 13:33:00,300580,隆基绿能,买入,33.3,600,19980.0,5,0,0.4,-19985.4
2025-04-15 10:19:00,300580,隆基绿能,卖出,32.18,600,19308.0,5,9.65,0.39,19292.96
2025-04-03 11:33:00,300309,立讯精密,买入,39.33,200,7866.0,5,0,0.16,-7871.16
2025-04-04 12:42:00,300309,立讯精密,卖出,41.47,200,8294.0,5,4.15,0.17,8284.68
2025-04-04 11:33:00,300287,中芯国际,买入,27.96,1000,27960.0,5,0,0.56,-27965.56
2025-04-21 12:42:00,300287,中芯国际,卖出,27.24,1000,27240.0,5,13.62,0.54,27220.84
2025-04-04 14:48:00,300220,隆基绿能,买入,21.1,500,10550.0,5,0,0.21,-10555.21
2025-04-22 11:42:00,300220,隆基绿能,卖出,20.39,500,10195.0,5,5.1,0.2,10184.7
2025-04-08 14:48:00,300765,紫光国微,买入,47.94,500,23970.0,5,0,0.48,-23975.48
2025-04-09 14:08:00,300765,紫光国微,卖出,50.35,500,25175.0,5,12.59,0.5,25156.91
2025-04-09 13:48:00,300737,新易盛,买入,18.85,600,11310.0,5,0,0.23,-11315.23
2025-04-24 12:42:00,300737,新易盛,卖出,18.2,600,10920.0,5,5.46,0.22,10909.32
2025-04-10 13:48:00,300658,隆基绿能,买入,16.31,1000,16310.0,5,0,0.33,-16315.33
2025-04-23 11:19:00,300658,隆基绿能,卖出,15.9,1000,15900.0,5,7.95,0.32,15886.73
2025-04-11 09:48:00,300675,中际旭创,买入,18.96,300,5688.0,5,0,0.11,-5693.11
2025-04-14 10:55:00,300675,中际旭创,卖出,19.82,300,5946.0,5,2.97,0.12,5937.91
2025-04-11 10:06:00,300823,隆基绿能,买入,24.21,400,9684.0,5,0,0.19,-9689.19
2025-04-14 14:42:00,300823,隆基绿能,卖出,25.36,400,10144.0,5,5.07,0.2,10133.73
2025-04-15 09:33:00,300555,中芯国际,买入,15.3,800,12240.0,5,0,0.24,-12245.24
2025-05-02 11:08:00,300555,中芯国际,卖出,14.85,800,11880.0,5,5.94,0.24,11868.82
2025-04-15 11:33:00,300211,北方华创,买入,36.56,800,29248.0,5,0,0.58,-29253.58
2025-05-02 14:08:00,300211,北方华创,卖出,35.35,800,28280.0,5,14.14,0.57,28260.29
2025-04-17 13:06:00,300748,天孚通信,买入,47.03,200,9406.0,5,0,0.19,-9411.19
2025-05-05 10:42:00,300748,天孚通信,卖出,45.56,200,9112.0,5,4.56,0.18,9102.26
2025-04-18 10:48:00,300608,天孚通信,买入,44.83,600,26898.0,5,0,0.54,-26903.54
2025-05-02 14:19:00,300608,天孚通信,卖出,43.33,600,25998.0,5,13.0,0.52,25979.48
2025-04-18 11:33:00,300351,天孚通信,买入,46.42,600,27852.0,5,0,0.56,-27857.56
2025-04-22 10:42:00,300351,天孚通信,卖出,48.81,600,29286.0,5,14.64,0.59,29265.77
2025-04-22 14:48:00,300053,中信证券,买入,19.86,600,11916.0,5,0,0.24,-11921.24
