成交日期,证券代码,证券名称,操作,成交价格,成交数量,成交金额,佣金,印花税,过户费,发生金额
2024-06-03 10:22:00,300001,东方财富,买入,41.98,400,16792.0,5.0,0,0.34,-16797.34
2024-06-04 13:22:00,300001,东方财富,卖出,45.34,400,18136.0,5.0,9.07,0.36,18121.57
2024-06-04 14:30:00,300002,中芯国际,买入,34.14,400,13656.0,5.0,0,0.27,-13661.27
2024-06-05 15:30:00,300002,中芯国际,卖出,36.87,400,14748.0,5.0,7.37,0.29,14735.34
2024-06-05 19:57:00,300003,比亚迪,买入,21.83,400,8732.0,5.0,0,0.17,-8737.17
2024-06-06 20:57:00,300003,比亚迪,卖出,23.58,400,9432.0,5.0,4.72,0.19,9422.09
2024-06-06 21:10:00,300004,恒瑞医药,买入,17.04,400,6816.0,5.0,0,0.14,-6821.14
2024-06-26 23:10:00,300004,恒瑞医药,卖出,16.19,400,6476.0,5.0,3.24,0.13,6467.63
2024-06-27 03:22:00,300005,中国平安,买入,28.4,400,11360.0,5.0,0,0.23,-11365.23
2024-07-17 07:22:00,300005,中国平安,卖出,26.98,400,10792.0,5.0,5.4,0.22,10781.38
2024-07-17 10:59:00,300006,京东方A,买入,42.43,400,16972.0,5.0,0,0.34,-16977.34
2024-08-06 13:59:00,300006,京东方A,卖出,40.31,400,16124.0,5.0,8.06,0.32,16110.62
2024-08-06 15:43:00,300007,宁德时代,买入,28.47,400,11388.0,5.0,0,0.23,-11393.23
2024-08-26 19:43:00,300007,宁德时代,卖出,27.05,400,10820.0,5.0,5.41,0.22,10809.37
2024-08-27 21:52:00,300008,迈瑞医疗,买入,36.72,400,14688.0,5.0,0,0.29,-14693.29
2024-09-16 23:52:00,300008,迈瑞医疗,卖出,34.88,400,13952.0,5.0,6.98,0.28,13939.74
2024-09-17 23:57:00,300009,隆基绿能,买入,30.64,400,12256.0,5.0,0,0.25,-12261.25
2024-09-19 03:57:00,300009,隆基绿能,卖出,33.09,400,13236.0,5.0,6.62,0.26,13224.12
2024-09-19 06:19:00,300010,平安银行,买入,15.56,400,6224.0,5.0,0,0.12,-6229.12
2024-09-20 09:19:00,300010,平安银行,卖出,16.8,400,6720.0,5.0,3.36,0.13,6711.51
2024-09-20 14:48:00,300011,立讯精密,买入,17.36,400,6944.0,5.0,0,0.14,-6949.14
2024-10-10 15:48:00,300011,立讯精密,卖出,16.49,400,6596.0,5.0,3.3,0.13,6587.57
2024-10-11 16:23:00,300012,招商银行,买入,45.89,400,18356.0,5.0,0,0.37,-18361.37
2024-10-31 19:23:00,300012,招商银行,卖出,43.6,400,17440.0,5.0,8.72,0.35,17425.93
2024-11-01 23:35:00,300013,中信证券,买入,20.66,400,8264.0,5.0,0,0.17,-8269.17
