成交日期,证券代码,证券名称,操作,成交价格,成交数量,成交金额,佣金,印花税,过户费,发生金额
2025-01-07 13:33:00,002007,华兰生物,买入,16.31,1200,19572.0,5,0,0.39,-19577.39
2025-01-15 12:42:00,002007,华兰生物,卖出,14.01,1200,16812.0,5,8.41,0.34,16798.25
2025-01-07 10:06:00,000651,格力电器,买入,36.37,800,29096.0,5,0,0.58,-29101.58
2025-01-15 10:08:00,000651,格力电器,卖出,39.25,800,31400.0,5,15.7,0.63,31378.67
2025-01-08 13:06:00,601688,华泰证券,买入,21.63,900,19467.0,5,0,0.39,-19472.39
2025-01-10 11:31:00,601688,华泰证券,卖出,25.94,900,23346.0,5,11.67,0.47,23328.86
2025-01-08 14:21:00,601166,兴业银行,买入,20.01,1100,22011.0,5,0,0.44,-22016.44
2025-01-15 13:31:00,601166,兴业银行,卖出,19.12,1100,21032.0,5,10.52,0.42,21016.06
2025-01-09 13:33:00,601899,紫金矿业,买入,19.77,1200,23724.0,5,0,0.47,-23729.47
2025-01-21 12:19:00,601899,紫金矿业,卖出,18.83,1200,22596.0,5,11.3,0.45,22579.25
2025-01-10 09:48:00,002460,赣锋锂业,买入,35.09,400,14036.0,5,0,0.28,-14041.28
2025-01-16 10:42:00,002460,赣锋锂业,卖出,37.22,400,14888.0,5,7.44,0.3,14875.26
2025-01-13 10:33:00,000725,京东方A,买入,4.77,6100,29097.0,5,0,0.58,-29102.58
2025-01-20 10:31:00,000725,京东方A,卖出,4.4,6100,26840.0,5,13.42,0.54,26821.04
2025-01-14 12:06:00,002241,歌尔股份,买入,19.31,1200,23172.0,5,0,0.46,-23177.46
2025-01-21 13:31:00,002241,歌尔股份,卖出,18.83,1200,22596.0,5,11.3,0.45,22579.25
2025-01-16 12:33:00,002475,立讯精密,买入,36.28,600,21768.0,5,0,0.44,-21773.44
2025-01-28 10:08:00,002475,立讯精密,卖出,33.87,600,20322.0,5,10.16,0.41,20306.43
2025-01-16 12:21:00,300059,东方财富,买入,21.94,200,4388.0,5,0,0.09,-4393.09
2025-01-21 10:31:00,300059,东方财富,买入,22.5,200,4500.0,5,0,0.09,-4505.09
2025-01-22 14:42:00,300059,东方财富,卖出,24.61,400,9844.0,5,4.92,0.2,9833.88
2025-01-17 09:21:00,600276,恒瑞医药,买入,57.89,500,28945.0,5,0,0.58,-28950.58
2025-01-21 13:42:00,600276,恒瑞医药,卖出,68.94,500,34470.0,5,17.23,0.69,34447.08
2025-01-21 10:33:00,600887,伊利股份,买入,31.25,900,28125.0,5,0,0.56,-28130.56
2025-01-31 10:42:00,600887,伊利股份,卖出,28.63,900,25767.0,5,12.88,0.52,25748.6
2025-01-21 10:48:00,002241,歌尔股份,买入,18.72,700,13104.0,5,0,0.26,-13109.26
2025-01-31 12:31:00,002241,歌尔股份,卖出,16.92,700,11844.0,5,5.92,0.24,11832.84
2025-01-23 14:33:00,000001,平安银行,买入,10.27,1200,12324.0,5,0,0.25,-12329.25
2025-01-30 12:55:00,000001,平安银行,卖出,8.07,1200,9684.0,5,4.84,0.19,9673.97
2025-01-24 10:21:00,688082,盛美上海,买入,137.66,200,27532.0,5,0,0.55,-27537.55
2025-01-30 14:19:00,688082,盛美上海,卖出,130.43,200,26086.0,5,13.04,0.52,26067.44
2025-01-24 10:33:00,300476,胜宏科技,买入,36.09,600,21654.0,5,0,0.43,-21659.43
2025-01-28 14:08:00,300476,胜宏科技,卖出,39.26,600,23556.0,5,11.78,0.47,23538.75
2025-01-27 10:33:00,300124,汇川技术,买入,76.45,200,15290.0,5,0,0.31,-15295.31
2025-01-30 10:31:00,300124,汇川技术,买入,77.56,200,15512.0,5,0,0.31,-15517.31
2025-01-30 13:55:00,300124,汇川技术,卖出,84.09,400,33636.0,5,16.82,0.67,33613.51
2025-01-29 09:48:00,600588,用友网络,买入,14.8,1600,23680.0,5,0,0.47,-23685.47
2025-02-07 14:08:00,600588,用友网络,卖出,13.11,1600,20976.0,5,10.49,0.42,20960.09
