成交日期,证券代码,证券名称,操作,成交价格,成交数量,成交金额,佣金,印花税,过户费,发生金额
2025-01-06 13:06:00,300826,中际旭创,买入,23.06,300,6918.0,5,0,0.14,-6923.14
2025-01-09 11:55:00,300826,中际旭创,卖出,25.48,300,7644.0,5,3.82,0.15,7635.03
2025-01-07 11:48:00,300898,天孚通信,买入,47.96,400,19184.0,5,0,0.38,-19189.38
2025-01-09 10:19:00,300898,天孚通信,卖出,46.16,400,18464.0,5,9.23,0.37,18449.4
2025-01-07 14:48:00,300465,新易盛,买入,13.12,200,2624.0,5,0,0.05,-2629.05
2025-01-13 12:08:00,300465,新易盛,卖出,12.6,200,2520.0,5,1.26,0.05,2513.69
2025-01-08 09:48:00,300779,比亚迪,买入,11.63,200,2326.0,5,0,0.05,-2331.05
2025-01-09 12:31:00,300779,比亚迪,卖出,12.79,200,2558.0,5,1.28,0.05,2551.67
2025-01-09 10:21:00,300205,天孚通信,买入,36.1,1000,36100.0,5,0,0.72,-36105.72
2025-01-10 12:19:00,300205,天孚通信,卖出,34.51,1000,34510.0,5,17.25,0.69,34487.06
2025-01-10 13:21:00,300313,剑桥科技,买入,29.67,1000,29670.0,5,0,0.59,-29675.59
2025-01-13 12:19:00,300313,剑桥科技,卖出,32.71,1000,32710.0,5,16.36,0.65,32687.99
2025-01-13 12:06:00,300357,中国平安,买入,46.56,200,9312.0,5,0,0.19,-9317.19
2025-01-16 13:19:00,300357,中国平安,卖出,51.38,200,10276.0,5,5.14,0.21,10265.65
2025-01-15 09:48:00,300229,中信证券,买入,16.03,200,3206.0,5,0,0.06,-3211.06
2025-01-16 14:55:00,300229,中信证券,卖出,17.67,200,3534.0,5,1.77,0.07,3527.16
2025-01-16 09:48:00,300222,寒武纪,买入,18.71,600,11226.0,5,0,0.22,-11231.22
2025-01-17 12:08:00,300222,寒武纪,卖出,20.54,600,12324.0,5,6.16,0.25,12312.59
2025-01-17 11:33:00,300695,隆基绿能,买入,25.24,600,15144.0,5,0,0.3,-15149.3
2025-01-21 13:31:00,300695,隆基绿能,卖出,27.78,600,16668.0,5,8.33,0.33,16654.34
2025-01-17 12:21:00,300424,寒武纪,买入,27.63,200,5526.0,5,0,0.11,-5531.11
2025-01-20 13:42:00,300424,寒武纪,卖出,30.4,200,6080.0,5,3.04,0.12,6071.84
2025-01-20 13:48:00,300477,紫光国微,买入,14.32,800,11456.0,5,0,0.23,-11461.23
2025-01-21 13:19:00,300477,紫光国微,卖出,15.8,800,12640.0,5,6.32,0.25,12628.43
2025-01-21 10:33:00,300300,中国平安,买入,36.68,1000,36680.0,5,0,0.73,-36685.73
2025-01-22 13:08:00,300300,中国平安,卖出,40.27,1000,40270.0,5,20.14,0.81,40244.05
2025-01-23 09:21:00,300579,中国平安,买入,15.82,300,4746.0,5,0,0.09,-4751.09
2025-01-24 14:08:00,300579,中国平安,卖出,17.41,300,5223.0,5,2.61,0.1,5215.29
2025-01-24 10:06:00,300459,比亚迪,买入,48.87,1000,48870.0,5,0,0.98,-48875.98
2025-01-27 10:55:00,300459,比亚迪,卖出,46.81,1000,46810.0,5,23.41,0.94,46780.65
2025-01-27 10:48:00,300556,工业富联,买入,21.45,200,4290.0,5,0,0.09,-4295.09
2025-01-28 10:31:00,300556,工业富联,卖出,23.63,200,4726.0,5,2.36,0.09,4718.55
2025-01-28 10:48:00,300562,工业富联,买入,39.08,500,19540.0,5,0,0.39,-19545.39
2025-01-29 13:42:00,300562,工业富联,卖出,42.94,500,21470.0,5,10.73,0.43,21453.84
2025-01-29 12:33:00,300467,隆基绿能,买入,31.7,1000,31700.0,5,0,0.63,-31705.63
2025-01-31 14:55:00,300467,隆基绿能,卖出,30.45,1000,30450.0,5,15.22,0.61,30429.17
2025-01-29 11:48:00,300816,工业富联,买入,14.41,500,7205.0,5,0,0.14,-7210.14
2025-02-03 12:42:00,300816,工业富联,卖出,13.84,500,6920.0,5,3.46,0.14,6911.4
2025-01-30 14:33:00,300166,恒瑞医药,买入,43.02,600,25812.0,5,0,0.52,-25817.52
2025-02-03 14:42:00,300166,恒瑞医药,卖出,41.41,600,24846.0,5,12.42,0.5,24828.08
2025-02-03 12:48:00,300018,中际旭创,买入,38.19,300,11457.0,5,0,0.23,-11462.23
2025-02-05 10:55:00,300018,中际旭创,卖出,41.88,300,12564.0,5,6.28,0.25,12552.47
2025-01-31 10:06:00,300133,招商银行,买入,49.37,500,24685.0,5,0,0.49,-24690.49
2025-02-03 11:31:00,300133,招商银行,卖出,54.46,500,27230.0,5,13.62,0.54,27210.84
2025-02-03 12:33:00,300134,万丰奥威,买入,50.22,500,25110.0,5,0,0.5,-25115.5
2025-02-05 12:55:00,300134,万丰奥威,卖出,47.99,500,23995.0,5,12.0,0.48,23977.52
2025-02-05 11:06:00,300335,紫光国微,买入,17.91,800,14328.0,5,0,0.29,-14333.29
2025-02-07 11:55:00,300335,紫光国微,卖出,17.13,800,13704.0,5,6.85,0.27,13691.88
2025-02-06 13:33:00,300556,中国平安,买入,28.51,400,11404.0,5,0,0.23,-11409.23
2025-02-10 10:42:00,300556,中国平安,卖出,31.37,400,12548.0,5,6.27,0.25,12536.48
2025-02-06 11:06:00,300899,恒瑞医药,买入,41.76,1000,41760.0,5,0,0.84,-41765.84
2025-02-10 10:55:00,300899,恒瑞医药,卖出,39.93,1000,39930.0,5,19.96,0.8,39904.24
2025-02-10 11:33:00,300175,中国平安,买入,31.32,600,18792.0,5,0,0.38,-18797.38
2025-02-11 14:55:00,300175,中国平安,卖出,34.36,600,20616.0,5,10.31,0.41,20600.28
2025-02-10 13:21:00,300271,新易盛,买入,37.05,400,14820.0,5,0,0.3,-14825.3
2025-02-12 12:08:00,300271,新易盛,卖出,40.75,400,16300.0,5,8.15,0.33,16286.52
2025-02-11 09:06:00,300735,紫光国微,买入,14.55,600,8730.0,5,0,0.17,-8735.17
2025-02-13 10:42:00,300735,紫光国微,卖出,13.95,600,8370.0,5,4.19,0.17,8360.64
2025-02-12 14:48:00,300329,京东方A,买入,13.89,400,5556.0,5,0,0.11,-5561.11
2025-02-13 12:55:00,300329,京东方A,卖出,15.22,400,6088.0,5,3.04,0.12,6079.84
2025-02-14 11:48:00,300408,京东方A,买入,48.18,500,24090.0,5,0,0.48,-24095.48
2025-02-17 11:42:00,300408,京东方A,卖出,52.91,500,26455.0,5,13.23,0.53,26436.24
2025-02-14 12:48:00,300552,恒瑞医药,买入,41.48,400,16592.0,5,0,0.33,-16597.33
2025-02-17 11:31:00,300552,恒瑞医药,卖出,45.58,400,18232.0,5,9.12,0.36,18217.52
2025-02-17 14:21:00,300379,中芯国际,买入,48.79,600,29274.0,5,0,0.59,-29279.59
2025-02-19 14:08:00,300379,中芯国际,卖出,53.73,600,32238.0,5,16.12,0.64,32216.24
2025-02-19 13:06:00,300536,中芯国际,买入,15.27,1000,15270.0,5,0,0.31,-15275.31
2025-02-21 10:42:00,300536,中芯国际,卖出,16.84,1000,16840.0,5,8.42,0.34,16826.24
2025-02-20 12:48:00,300808,科大讯飞,买入,36.65,1000,36650.0,5,0,0.73,-36655.73
2025-02-21 14:42:00,300808,科大讯飞,卖出,40.23,1000,40230.0,5,20.12,0.8,40204.08
