成交日期,证券代码,证券名称,操作,成交价格,成交数量,成交金额,佣金,印花税,过户费,发生金额
2025-01-06 14:21:00,000063,中兴通讯,买入,30.72,200,6144.0,5,0,0.12,-6149.12
2025-01-08 10:08:00,000063,中兴通讯,买入,31.5,200,6300.0,5,0,0.13,-6305.13
2025-01-10 13:19:00,000063,中兴通讯,卖出,36.33,400,14532.0,5,7.27,0.29,14519.44
2025-01-07 13:21:00,300408,三环集团,买入,28.34,200,5668.0,5,0,0.11,-5673.11
2025-01-10 10:42:00,300408,三环集团,买入,28.85,200,5770.0,5,0,0.12,-5775.12
2025-01-10 14:31:00,300408,三环集团,卖出,31.65,400,12660.0,5,6.33,0.25,12648.42
2025-01-08 10:21:00,002241,歌尔股份,买入,29.77,500,14885.0,5,0,0.3,-14890.3
2025-01-13 13:55:00,002241,歌尔股份,卖出,33.51,500,16755.0,5,8.38,0.34,16741.28
2025-01-09 11:33:00,600588,用友网络,买入,22.52,700,15764.0,5,0,0.32,-15769.32
2025-01-14 11:19:00,600588,用友网络,卖出,24.79,700,17353.0,5,8.68,0.35,17338.97
2025-01-10 09:06:00,300999,金龙鱼,买入,38.17,300,11451.0,5,0,0.23,-11456.23
2025-01-22 14:31:00,300999,金龙鱼,卖出,43.02,300,12906.0,5,6.45,0.26,12894.29
2025-01-13 14:48:00,601899,紫金矿业,买入,18.19,900,16371.0,5,0,0.33,-16376.33
2025-01-16 13:31:00,601899,紫金矿业,卖出,17.21,900,15489.0,5,7.74,0.31,15475.95
2025-01-14 09:33:00,600887,伊利股份,买入,24.26,400,9704.0,5,0,0.19,-9709.19
2025-01-17 14:08:00,600887,伊利股份,卖出,23.13,400,9252.0,5,4.63,0.19,9242.18
2025-01-14 12:33:00,600030,中信证券,买入,22.48,1100,24728.0,5,0,0.49,-24733.49
2025-01-17 10:19:00,600030,中信证券,卖出,23.92,1100,26312.0,5,13.16,0.53,26293.31
2025-01-16 13:21:00,601166,兴业银行,买入,21.73,1100,23903.0,5,0,0.48,-23908.48
2025-01-22 12:31:00,601166,兴业银行,卖出,26.28,1100,28908.0,5,14.45,0.58,28887.97
2025-01-16 10:06:00,002460,赣锋锂业,买入,37.84,700,26488.0,5,0,0.53,-26493.53
2025-01-21 12:55:00,002460,赣锋锂业,卖出,43.98,700,30786.0,5,15.39,0.62,30764.99
2025-01-17 14:33:00,300316,晶盛机电,买入,42.29,300,12687.0,5,0,0.25,-12692.25
2025-01-28 10:19:00,300316,晶盛机电,卖出,50.29,300,15087.0,5,7.54,0.3,15074.16
2025-01-20 13:48:00,002241,歌尔股份,买入,25.11,800,20088.0,5,0,0.4,-20093.4
2025-01-24 14:55:00,002241,歌尔股份,卖出,23.08,800,18464.0,5,9.23,0.37,18449.4
2025-01-21 14:33:00,002475,立讯精密,买入,41.57,600,24942.0,5,0,0.5,-24947.5
2025-01-31 12:19:00,002475,立讯精密,卖出,47.14,600,28284.0,5,14.14,0.57,28264.29
2025-01-22 14:33:00,300782,卓胜微,买入,79.71,200,15942.0,5,0,0.32,-15947.32
2025-01-27 10:19:00,300782,卓胜微,卖出,95.5,200,19100.0,5,9.55,0.38,19085.07
